Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
104,Renê,brBRA,DF,Fluminense,32,1992,26.2,52,36,31,19,2,24,43,55.8,19,30,6,24,44,96,87,3,Matches
105,Robert Renan,brBRA,DF,Vasco da Gama,21,2003,14.3,18,10,11,6,1,7,9,77.8,2,21,15,6,18,36,69,0,Matches
106,Reinaldo,brBRA,DF,Mirassol,35,1989,32.1,44,31,21,15,8,22,50,44.0,28,25,4,21,17,61,106,2,Matches
107,Reginaldo,brBRA,DF,Juventude,31,1993,13.0,12,9,6,6,0,5,9,55.6,4,9,4,5,10,22,40,0,Matches
108,Santi Ramos Mingo,arARG,DF,Bahia,23,2001,32.5,28,17,15,12,1,16,24,66.7,8,49,32,17,26,54,149,2,Matches
109,Lucas Ramon,brBRA,DF,Mirassol,30,1994,28.9,60,42,32,21,7,30,75,40.0,45,23,6,17,52,112,137,1,Matches
110,Ramon,brBRA,DF,Internacional,23,2001,3.7,5,4,0,5,0,2,3,66.7,1,5,2,3,5,10,11,1,Matches
111,Ramon,brBRA,DF,Vitória,23,2001,18.0,34,25,16,15,3,19,37,51.4,18,25,6,19,15,49,62,0,Matches
112,André Ramalho,brBRA,DF,Corinthians,32,1992,19.8,29,16,18,11,0,18,26,69.2,8,19,14,5,17,46,96,1,Matches
113,Rafinha,brBRA,DF,Sport Recife,18,2006,0.5,3,0,2,0,1,2,2,100.0,0,0,0,0,1,4,0,0,Matches
114,Igor Rabello,brBRA,DF,Fluminense,29,1995,1.6,2,1,2,0,0,2,2,100.0,0,2,0,2,2,4,7,0,Matches
115,Igor Rabello,brBRA,DF,Atlético Mineiro,29,1995,2.1,3,2,3,0,0,3,4,75.0,1,5,2,3,2,5,14,0,Matches
116,Kauã Prates,brBRA,DF,Cruzeiro,16,2008,3.8,15,9,6,7,2,9,13,69.2,4,2,2,0,1,16,19,0,Matches
117,Mateo Ponte,uyURU,DF,Botafogo (RJ),21,2003,7.5,14,11,4,6,4,3,9,33.3,6,7,2,5,10,24,14,0,Matches
118,Lucas Piton,brBRA,DF,Vasco da Gama,24,2000,28.3,31,26,14,12,5,16,25,64.0,9,9,0,9,36,67,86,0,Matches
119,Joaquín Piquerez,uyURU,DF,Palmeiras,26,1998,27.3,53,30,21,23,9,32,56,57.1,24,27,7,20,25,78,55,2,Matches
120,Luan Peres Petroni,brBRA,DF,Santos,30,1994,22.8,31,17,18,11,2,11,18,61.1,7,28,22,6,21,52,143,1,Matches
121,Léo Pereira,brBRA,DF,Flamengo,29,1996,32.8,23,15,16,6,1,14,29,48.3,15,31,19,12,22,45,121,1,Matches
122,João Pedro,brBRA,DF,Grêmio,28,1996,5.0,8,6,3,4,1,4,5,80.0,1,4,2,2,1,9,15,0,Matches
123,João Pedro,brBRA,DF,Corinthians,21,2003,13.8,22,13,17,5,0,12,16,75.0,4,18,13,5,12,34,66,2,Matches
124,João Pedro Chermont,brBRA,DF,Santos,19,2006,2.8,10,8,5,5,0,7,7,100.0,0,1,0,1,3,13,12,0,Matches
125,Marcos Paulo,brBRA,DF,Juventude,22,2003,15.2,21,17,13,6,2,15,19,78.9,4,24,16,8,9,30,87,1,Matches
126,Patryck,brBRA,DF,São Paulo,22,2003,3.4,3,3,1,1,1,3,5,60.0,2,2,0,2,2,5,5,0,Matches
127,Kaio Pantaleão,brBRA,DF,Botafogo (RJ),29,1995,10.4,10,8,4,5,1,3,9,33.3,6,8,3,5,15,25,56,1,Matches
128,Sergio Palacios,coCOL,DF,RB Bragantino,19,2005,0.8,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,3,0,Matches
129,Bruno Pacheco,brBRA,DF,Fortaleza,33,1991,14.0,25,17,12,10,3,17,29,58.6,12,12,5,7,11,36,34,0,Matches
