"Jogador","Equipa","Equipa dentro de um período de tempo seleccionado","Posição","Idade","Valor de mercado","Contrato termina","Partidas jogadas","Minutos jogados:","Golos","Golos esperados","Assistências","Assistências esperadas","Duelos/90","Duelos ganhos, %","Naturalidade","País de nacionalidade","Pé","Altura","Peso","Emprestado","Ações defensivas com êxito/90","Duelos defensivos/90","Duelos defensivos ganhos, %","Duelos aérios/90...25","Duelos aéreos ganhos, %","Cortes/90","Cortes de carrinho ajust. à posse","Remates intercetados/90","Interseções/90","Interceções ajust. à posse","Faltas/90","Cartões amarelos","Cartões amarelos/90","Cartões vermelhos","Cartões vermelhos/90","Acções atacantes com sucesso/90","Golos/90","Golos sem ser por penálti","Golos sem ser por penálti/90","Golos esperados/90","Golos de cabeça","Golos de cabeça/90","Remate","Remates/90","Remates à baliza, %","Golos marcados, %","Assistências/90","Cruzamentos/90","Cruzamentos certos, %","Cruzamentos do flanco esquerdo/90","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos do flanco direito/90","Cruzamentos precisos do flanco direito, %","Cruzamentos para a área de baliza/90","Dribles/90","Dribles com sucesso, %","Duelos ofensivos/90","Duelos ofensivos ganhos, %","Toques na área/90","Corridas progressivas/90","Acelerações/90","Passes recebidos/90","Passes longos recebidos/90","Faltas sofridas/90","Passes/90","Passes certos, %","Passes para a frente/90","Passes para a frente certos, %","Passes para trás/90","Passes para trás certos, %","Passes laterais/90","Passes laterais certos, %","Passes curtos / médios /90","Passes curtos / médios precisos, %","Passes longos/90","Passes longos certos, %","Comprimento médio de passes, m","Comprimento médio de passes longos, m","Assistências esperadas/90","Assistências para remate/90","Segundas assistências/90","Terceiras assistências/90","Passes inteligentes/90","Passes inteligentes certos, %","Passes chave/90","Passes para terço final/90","Passes certos para terço final, %","Passes para a área de penálti/90","Passes precisos para a área de penálti, %","Passes em profundidade/90","Passes em profundidade certos, %","Receção de passes em profundidade/90","Cruzamentos em profundidade recebidos/90","Passes progressivos/90","Passes progressivos certos, %","Golos sofridos","Golos sofridos/90","Remates sofridos","Remates sofridos/90","Jogos sem sofrer golos","Defesas, %","Golos sofridos esperados","Golos sofridos esperados/90","Golos expectáveis defendidos","Golos expectáveis defendidos por 90´","Passes para trás recebidos pelo guarda-redes/90","Saídas/90","Duelos aérios/90...109","Livres/90","Livres directos/90","Pontapés livres directos à baliza, %","Cantos/90","Penaltis marcados","Conversão de penaltis, %"
"Jemmes","Mirassol","Mirassol","LCB",25,0,"2027-12-31",36,3617,2,2.26,0,0.32,10.48,61.05,"Brazil","Brazil","direito",187,73,"sim",7.69,4.03,63.58,3.51,61.7,0.15,0.2,0.65,4.98,6.72,0.82,3,0.07,0,0,0.5,0.05,2,0.05,0.06,0,0,12,0.3,25,16.667,0,0.02,100,0.02,100,0,0,0,0.55,68.18,1.44,56.9,0.37,1.22,0.27,27.57,0.22,0.27,40.41,89.72,16.12,81.48,3.01,94.21,15.38,97.41,38.12,91.64,2.26,57.14,17.98,31.02,0.01,0.12,0,0.02,0.02,100,0,3.06,77.24,0.17,28.57,0.12,20,0.07,0.02,5,59.7,0,NA,0,NA,0,0,0,0,NA,NA,1.74,NA,NA,0,0,0,0.02,0,0
"Willian Machado","Ceará","Ceará","LCB",29,1e+05,"2027-12-31",35,3517,0,1.5,0,1.08,9.75,72.18,"Brazil","Brazil","esquerdo",186,90,"sim",7.4,3.51,72.26,4.22,77.58,0.15,0.19,0.46,4.71,5.71,0.56,6,0.15,0,0,0.36,0,0,0,0.04,0,0,17,0.44,47.06,0,0,0.13,40,0.08,66.67,0.05,0,0.03,0.15,66.67,0.82,56.25,0.69,0.56,0,20.63,0.36,0.44,31.76,85.9,12.62,72.62,1.69,98.48,14.61,95.62,26,91.14,5.63,62.73,22.26,34.79,0.03,0.23,0,0,0,0,0.08,3.86,71.52,0.61,37.5,0.33,46.15,0.2,0.05,6.01,66.81,0,NA,0,NA,0,0,0,0,NA,NA,1.33,NA,NA,0,0,0,0,0,0
"João Victor","Mirassol","Mirassol","RCB",28,250000,"2026-12-31",33,3332,2,2.86,1,0.76,8.56,57.73,"Brazil","Brazil","direito",188,80,"sim",7.27,3,57.66,3.67,58.09,0.14,0.18,1.11,5.4,7.4,0.73,8,0.22,1,0.03,0.24,0.05,2,0.05,0.08,1,0.03,14,0.38,35.71,14.286,0.03,0.11,25,0,0,0.11,25,0.05,0.11,75,0.89,57.58,0.46,0.51,0.03,30.77,0.22,0.51,42.33,92.09,14.53,84.39,2.73,98.02,20.2,97.06,38.76,94.98,3.46,61.72,19.57,35.81,0.02,0.11,0,0,0,0,0.03,2.59,80.21,0.22,12.5,0.14,40,0.08,0.05,5.56,67.48,0,NA,0,NA,0,0,0,0,NA,NA,2.35,NA,NA,0,0,0,0,0,0
"Fabricio Bruno","Cruzeiro","Cruzeiro","RCB",29,0,"2030-12-31",33,3277,3,1.44,0,0.2,9.42,67.93,"Brazil","Brazil","direito",192,90,"sim",7.58,3.84,72.14,3.41,70.97,0.14,0.19,0.63,4.67,6.38,0.69,9,0.25,1,0.03,0.38,0.08,3,0.08,0.04,3,0.08,15,0.41,46.67,20,0,0.11,75,0.05,100,0.05,50,0.03,0.11,75,0.8,55.17,0.47,0.55,0,26.42,0.33,0.49,40.45,86.76,18.65,78.2,1.68,95.08,17.58,95,33.78,92.11,6.62,59.34,22.52,36.82,0.01,0.03,0,0,0.03,100,0.03,5.19,69.84,0.6,40.91,0.33,33.33,0.16,0.05,8.13,69.59,0,NA,0,NA,0,0,0,0,NA,NA,0.99,NA,NA,0,0,0,0,0,0
"Lucas Halter","Vitória","Vitória","RCB, LCB",25,3e+06,"2027-12-31",33,3238,5,3.78,0,0.05,8.76,63.17,"Brazil","Brazil","direito",188,93,"sim",7.03,3.39,66.39,3.14,62.83,0.28,0.33,1.03,4.5,5.39,0.64,7,0.19,1,0.03,0.39,0.14,5,0.14,0.11,3,0.08,21,0.58,38.1,23.81,0,0.08,0,0.03,0,0.06,0,0.03,0.19,85.71,0.69,48,0.75,0.58,0.03,26.16,0.19,0.25,37.22,89.25,15.93,79.41,1.25,97.78,17.09,97.89,33.24,94.57,3.89,45.71,20.95,38.59,0,0.03,0.03,0,0,0,0,4.39,77.22,0.44,6.25,0.22,25,0.11,0.06,6.89,69.35,0,NA,0,NA,0,0,0,0,NA,NA,0.86,NA,NA,0,0,0,0,0,0
"Léo Pereira","Flamengo","Flamengo","LCB",29,0,"2027-12-31",34,3223,4,2.48,1,0.7,8.35,56.52,"Brazil","Brazil","esquerdo",189,79,"sim",5.67,3.02,59.26,2.82,53.47,0.17,0.28,0.53,3.71,6.15,0.59,6,0.17,0,0,0.39,0.11,4,0.11,0.07,2,0.06,18,0.5,38.89,22.222,0.03,0.39,28.57,0.36,30.77,0.03,0,0,0.17,50,0.7,44,0.95,2.09,0.03,57.36,0.5,0.34,72.32,94.05,21.19,86.03,3.57,96.88,37.98,98.38,67.1,96.8,4.83,61.27,18.9,36.07,0.02,0.28,0,0.03,0.03,0,0.14,9.02,83.28,0.81,51.72,0.45,50,0.39,0.11,8.24,76.61,0,NA,0,NA,0,0,0,0,NA,NA,1.73,NA,NA,0.08,0.06,0,0,0,0
"S. Ramos Mingo","Bahia","Bahia","LCB",24,2500000,"2029-12-31",32,3215,0,1.54,0,0.46,9.83,57.55,"Argentina","Argentina, Italy","esquerdo",186,76,"sim",6.38,3.08,66.36,4.45,54.72,0.36,0.55,0.78,3.98,5.99,0.87,8,0.22,1,0.03,0.17,0,0,0,0.04,0,0,12,0.34,33.33,0,0,0.08,33.33,0.08,33.33,0,0,0,0.11,25,0.92,54.55,0.53,1.54,0.25,36.59,0.67,0.56,47.67,90.37,22.37,84.86,3.28,93.16,16.74,96.49,43.59,94.03,4,51.75,18.54,37.31,0.01,0.08,0,0,0.03,0,0.11,6.94,82.26,0.56,35,0.39,28.57,0.11,0.03,9.15,76.15,0,NA,0,NA,0,0,0,0,NA,NA,2.38,NA,NA,0,0,0,0,0,0
"L. Villalba","Cruzeiro","Cruzeiro","LCB",31,2e+06,"2026-12-31",32,3195,1,2.99,0,0.26,10.73,62.47,"Argentina","Argentina","esquerdo",177,73,"sim",7.75,3.75,75.19,3.69,51.15,0.31,0.43,0.62,4.62,6.41,0.76,10,0.28,0,0,0.62,0.03,1,0.03,0.08,0,0,18,0.51,27.78,5.556,0,0.51,33.33,0.42,33.33,0.06,0,0.06,0.48,58.82,1.44,60.78,0.62,2.08,0,27.04,0.37,0.62,42.51,82.64,19.69,70.24,2.79,94.95,16.51,94.88,33.52,91.85,8.48,49.17,22.42,38.5,0.01,0.11,0.03,0,0.03,100,0.08,6.48,66.09,0.9,34.38,0.45,18.75,0.17,0.2,9.94,67.14,0,NA,0,NA,0,0,0,0,NA,NA,0.9,NA,NA,0,0,0,0,0,0
"J. Freytes","Fluminense","Fluminense","LCB",25,8e+05,"2025-12-31",32,3165,0,1.34,2,0.15,9.9,60.63,"Argentina","Argentina","esquerdo",186,81,"sim",5.94,3.53,63.71,3.55,55.2,0.03,0.04,0.45,3.67,5.01,0.63,8,0.23,1,0.03,0.37,0,0,0,0.04,0,0,20,0.57,30,0,0.06,0.2,28.57,0.17,33.33,0.03,0,0.06,0.2,71.43,1.36,50,0.51,0.71,0.14,43.65,0.4,0.48,58.01,86.86,23.46,75.52,3.01,89.62,25.82,96.04,49.08,92.87,8.73,54.4,22.49,41.47,0,0.11,0,0,0.06,0,0.09,7.25,66.27,1,28.57,0.45,25,0.31,0.09,11.09,68.21,0,NA,0,NA,0,0,0,0,NA,NA,1.68,NA,NA,0.06,0.06,0,0,0,0
"Pedro Henrique","Red Bull Bragantino","Red Bull Bragantino","RCB, LCB",30,3500000,"2026-12-31",31,2967,1,1.31,1,0.52,10.65,60.4,"Brazil","Brazil","direito",188,82,"sim",7.22,4.46,59.86,4.03,60.15,0.09,0.12,0.73,4.46,5.75,0.7,6,0.18,0,0,0.24,0.03,1,0.03,0.04,1,0.03,13,0.39,23.08,7.692,0.03,0.21,42.86,0,0,0.21,42.86,0,0.06,100,0.64,61.9,0.49,1,0.09,26.51,0.39,0.64,39.71,84.42,15.62,72.62,2.37,96.15,18.87,92.6,30.61,92.37,8.89,58.02,24.34,39.92,0.02,0.15,0.03,0,0.03,0,0.15,6.22,67.32,1.15,42.11,1.03,50,0.39,0.09,8.89,71.33,0,NA,0,NA,0,0,0,0,NA,NA,1.76,NA,NA,0,0,0,0,0,0
"Vitão","Internacional","Internacional","RCB, LCB",25,8e+06,"2026-12-31",30,2945,0,0.92,0,0.11,7.7,55.95,"Brazil","Brazil","direito",185,78,"sim",5.16,3.12,58.82,3.3,52.78,0.21,0.3,0.34,3.12,4.36,0.64,5,0.15,0,0,0.15,0,0,0,0.03,0,0,10,0.31,20,0,0,0.06,50,0,0,0.06,50,0,0.12,50,0.46,40,0.37,0.86,0.03,30.53,0.37,0.06,43.06,90.63,14.39,77.92,1.77,94.83,23.1,98.02,37.47,94.94,5.53,61.88,21.53,37.79,0,0.03,0,0,0,0,0.03,5.62,72.28,0.55,16.67,0.49,25,0.12,0.03,6.48,75.94,0,NA,0,NA,0,0,0,0,NA,NA,0.73,NA,NA,0,0,0,0,0,0
"Júnior Alonso","Atlético Mineiro","Atlético Mineiro","LCB",32,8e+06,"2025-12-31",30,2797,0,0.96,0,0.15,11.84,64.4,"Paraguay","Paraguay","esquerdo",185,83,"sim",7.75,5.37,70.66,3.76,57.26,0.23,0.33,0.45,3.73,5.41,0.71,6,0.19,2,0.06,0.35,0,0,0,0.03,0,0,12,0.39,25,0,0,0.48,20,0.48,20,0,0,0,0.23,71.43,0.87,51.85,0.55,1.29,0.06,40.13,0.74,0.32,54.15,89.72,21.98,84.04,5.24,95.71,21.33,95.32,48.07,93.64,5.66,61.36,20.21,35.16,0,0.1,0,0,0,0,0.03,8.78,82.78,1.06,33.33,0.26,0,0.26,0.06,10.59,80.55,0,NA,0,NA,0,0,0,0,NA,NA,3.25,NA,NA,0,0,0,0,0,0
"Hugo Moura","Vasco da Gama","Vasco da Gama","LDMF, RCB, LCMF",27,1500000,"2026-12-31",32,2617,0,1.16,1,0.74,10.49,52.79,"Brazil","Brazil","direito",182,79,"sim",6.95,6.43,55.08,1.24,66.67,0.28,0.4,0.41,3.13,4.56,1.44,6,0.21,1,0.03,0.72,0,0,0,0.04,0,0,13,0.45,46.15,0,0.03,0.28,75,0.14,75,0.14,75,0.03,0.48,64.29,1.75,50.98,0.31,0.93,0.14,42.78,0.31,0.48,55.54,92.94,16.85,86.12,5.43,96.2,25.17,96.86,51.96,94.9,3.3,63.54,18.24,37.94,0.03,0.31,0,0.1,0,0,0.07,6.02,87.43,0.58,58.82,0.21,33.33,0.17,0.24,6.22,71.27,0,NA,0,NA,0,0,0,0,NA,NA,1.2,NA,NA,0,0,0,0,0,0
"Zé Marcos","Vitória","Vitória","LCB",27,6e+05,NA,27,2587,0,1.03,1,0,10.44,58.33,"Brazil","Brazil","esquerdo",188,77,"sim",7.27,3.34,63.54,3.93,57.52,0.14,0.16,0.52,5.01,5.78,0.83,6,0.21,0,0,0.35,0,0,0,0.04,0,0,6,0.21,16.67,0,0.03,0.14,25,0.1,0,0,0,0,0.31,88.89,1.36,53.85,0.38,0.77,0,24.7,0.35,0.63,37.26,82.07,16.07,69.91,1.98,91.23,14.89,93.69,31.31,90.22,5.81,39.52,20.74,37.34,0,0,0,0,0,0,0,4.73,56.62,0.45,15.38,0.45,0,0.07,0.03,7.86,61.95,0,NA,0,NA,0,0,0,0,NA,NA,1.08,NA,NA,0,0,0,0,0,0
"Wagner Leonardo","Grêmio","Grêmio","LCB, RCB",26,1500000,"2028-12-31",28,2585,0,1.8,2,0.74,9.37,62.83,"Brazil","Brazil","esquerdo",186,76,"sim",6.72,3.55,70.59,4.07,60.68,0.28,0.34,0.66,3.93,4.8,0.7,3,0.1,0,0,0.24,0,0,0,0.06,0,0,9,0.31,44.44,0,0.07,0,0,0,0,0,0,0,0.14,75,0.63,50,0.49,0.45,0,25.35,0.31,0.17,36.66,89.46,14.17,81.08,1.91,98.18,17.37,95.79,31.33,93.33,5.33,66.67,21.64,35.45,0.03,0.1,0,0,0,0,0.07,2.92,75,0.24,42.86,0.21,16.67,0.17,0,6.89,66.16,0,NA,0,NA,0,0,0,0,NA,NA,1.6,NA,NA,0,0,0,0,0,0
"G. Gómez","Palmeiras","Palmeiras","RCB, CB",32,7500000,"2027-12-31",27,2574,2,2.24,1,0.27,15,61.77,"Paraguay","Paraguay","direito",185,85,"sim",9.06,6.26,73.18,5.94,54.71,0.35,0.49,0.66,4.13,5.79,1.19,7,0.24,0,0,0.56,0.07,2,0.07,0.08,1,0.03,15,0.52,33.33,13.333,0.03,0.7,50,0.21,66.67,0.49,42.86,0,0.14,25,0.59,35.29,0.98,0.56,0,24.3,0.14,0.52,36.99,83.36,14.9,66.67,2.59,98.65,16.29,95.49,29.41,92.03,6.89,49.75,22.09,35.64,0.01,0.14,0,0.03,0,0,0,5.87,57.74,1.22,37.14,0.49,42.86,0.21,0.38,6.64,71.05,0,NA,0,NA,0,0,0,0,NA,NA,1.61,NA,NA,0,0,0,0,0,0
"A. Franco","São Paulo","São Paulo","LCB, CB, RCB",29,3e+06,NA,29,2537,0,0.7,0,0.01,11.03,54.66,"Argentina","Argentina","direito",183,77,"sim",7.88,5.04,63.38,2.7,51.32,0.04,0.05,0.5,4.65,6.27,1.21,6,0.21,0,0,0.18,0,0,0,0.02,0,0,4,0.14,0,0,0,0.04,0,0,0,0.04,0,0,0.35,50,1.74,40.82,0.32,0.53,0.07,34.8,0.39,0.39,49.98,87.86,21.99,78.55,3.37,92.63,19.55,97.1,44.73,92.62,5.21,47.62,19.05,33.5,0,0.04,0,0.04,0,0,0,3.26,68.48,0.18,20,0.04,0,0.11,0,7.84,61.99,0,NA,0,NA,0,0,0,0,NA,NA,1.99,NA,NA,0,0,0,0,0,0
"G. Ávila","Fortaleza","Fortaleza","LCB, LB",24,5e+06,"2028-06-30",26,2496,0,0.8,0,0.09,12.76,58.76,"Argentina","Argentina","esquerdo",182,80,"sim",8.76,5.73,66.67,3.21,52.81,0.61,0.79,0.72,4.33,5.55,0.83,4,0.14,0,0,0.65,0,0,0,0.03,0,0,17,0.61,35.29,0,0,0.87,25,0.69,31.58,0.14,0,0.04,0.22,50,1.95,46.3,0.54,0.69,0,22.57,0.5,0.87,33.61,78.43,15.79,68.26,1.51,95.24,13.81,87.99,23.26,90.08,9.56,54.34,26.25,39.5,0,0.04,0,0,0.14,75,0.04,6.56,54.4,1.48,46.34,0.76,47.62,0.4,0.29,8.44,76.92,0,NA,0,NA,0,0,0,0,NA,NA,0.47,NA,NA,0.36,0.25,28.57,0.11,0,0
"Sabino","São Paulo","São Paulo","LCB",29,1e+06,"2026-12-31",29,2496,2,1.71,0,0.13,14.03,60.67,"Brazil","Brazil","esquerdo",185,88,"sim",10.13,6.02,71.26,4.36,55.37,0.36,0.51,0.69,5.48,7.7,1.33,3,0.11,0,0,0.54,0.07,2,0.07,0.06,1,0.04,14,0.5,50,14.286,0,0.29,12.5,0.29,12.5,0,0,0.07,0.4,63.64,1.8,40,0.5,2.13,0.18,31.26,0.79,0.54,45.11,86.17,20.3,78.15,3.71,95.15,16.19,93.32,39.23,91.73,5.63,50.64,20.68,37.39,0,0.14,0.07,0,0.04,0,0,6.92,71.35,0.69,31.58,0.4,27.27,0.14,0.04,8.87,69.92,0,NA,0,NA,0,0,0,0,NA,NA,1.55,NA,NA,0,0,0,0,0,0
"David Duarte","Bahia","Bahia","RCB",30,1e+06,"2027-12-31",25,2495,1,1.57,1,0.25,9.52,62.5,"Brazil","Brazil","direito",193,89,"sim",6.71,3.43,63.16,4.26,65.25,0.07,0.11,0.69,4.47,6.79,0.72,3,0.11,0,0,0.36,0.04,1,0.04,0.06,1,0.04,15,0.54,33.33,6.667,0.04,0,0,0,0,0,0,0,0.25,71.43,0.79,59.09,0.72,1.62,0,36.9,0.11,0.29,48.59,90.5,19.05,80.87,2.85,97.47,21.07,97.6,43.32,94.84,5.27,54.79,18.89,38.02,0.01,0.07,0,0,0.04,0,0.04,5.56,78.57,0.25,57.14,0.18,40,0.22,0,7.72,69.63,0,NA,0,NA,0,0,0,0,NA,NA,2.13,NA,NA,0.04,0.04,100,0,0,0
"Léo Ortiz","Flamengo","Flamengo","RCB, LCB",29,0,"2028-12-31",26,2398,1,2.16,2,0.1,9.68,61.63,"Brazil","Brazil","direito",185,82,"sim",5.85,2.93,69.23,3.49,59.14,0.23,0.35,0.49,3.6,5.56,0.71,4,0.15,0,0,0.64,0.04,1,0.04,0.08,1,0.04,16,0.6,37.5,6.25,0.08,0.15,75,0,0,0.15,75,0.04,0.34,88.89,1.05,50,0.79,1.76,0.08,51.79,0.75,0.19,67.22,91.46,27.96,84.43,3.3,96.59,29.57,97.08,60.31,94.52,6.76,64.44,19.77,35.33,0,0.11,0.04,0,0.04,0,0.08,9.53,78.74,0.79,42.86,0.68,16.67,0.3,0.11,11.82,81.9,0,NA,0,NA,0,0,0,0,NA,NA,2.25,NA,NA,0,0,0,0.04,0,0
"Alexander Barboza","Botafogo","Botafogo","LCB, RCB",30,2500000,"2026-12-31",24,2377,0,1.74,0,0.07,13.78,57.69,"Argentina","Argentina, Uruguay","esquerdo",193,83,"sim",9.24,5.68,62.67,4.88,64.34,0.34,0.44,0.53,5.34,6.83,1.82,14,0.53,0,0,0.38,0,0,0,0.07,0,0,19,0.72,26.32,0,0,0.15,50,0.04,100,0.11,33.33,0,0.3,37.5,1.33,25.71,0.83,0.83,0,36.27,0.49,0.11,52.78,85.29,23.36,73.58,2.65,95.71,21.54,96.13,44.49,91.49,8.14,52.09,21.54,38.15,0,0.04,0.04,0.04,0.04,0,0,8.03,68.87,0.42,45.45,0.42,45.45,0.08,0.08,9.54,72.22,0,NA,0,NA,0,0,0,0,NA,NA,1.93,NA,NA,0.04,0.04,100,0,0,0
"Marllon","Ceará","Ceará","RCB",33,5e+05,"2026-12-31",25,2361,2,0.48,0,0.01,9,58.47,"Brazil","Brazil","direito",186,75,"sim",6.33,3.51,68.48,3.09,51.85,0.04,0.05,0.46,3.89,4.77,0.69,3,0.11,0,0,0.11,0.08,2,0.08,0.02,2,0.08,6,0.23,33.33,33.333,0,0.04,0,0,0,0.04,0,0,0.08,50,0.72,47.37,0.34,0.19,0,16.93,0.34,0.42,27.64,88.41,10.79,78.45,1.49,94.87,12.66,96.08,23.71,93.09,3.89,60.78,20.38,30,0,0.08,0,0.04,0,0,0,1.98,71.15,0.08,50,0,0,0.04,0,5.37,64.54,0,NA,0,NA,0,0,0,0,NA,NA,1.14,NA,NA,0.04,0,0,0,0,0
"Gustavo Henrique","Corinthians","Corinthians","LCB, CB",32,1e+06,NA,23,2331,3,3.4,0,0.45,9.5,66.26,"Brazil","Brazil","direito",196,86,"sim",6.53,3.32,67.44,4.4,70.18,0,0,0.85,4.29,6.63,0.85,5,0.19,0,0,0.46,0.12,3,0.12,0.13,2,0.08,23,0.89,47.83,13.043,0,0.12,0,0.08,0,0.04,0,0,0.04,100,0.35,66.67,1.27,0.15,0,31.31,0.35,0.27,45.75,91.48,12.86,79.58,2.24,98.28,27.07,97.57,40.93,95.19,4.71,61.48,21.41,37.61,0.02,0.12,0,0,0,0,0.04,3.67,73.68,0.23,16.67,0.15,50,0.19,0,5.68,65.31,0,NA,0,NA,0,0,0,0,NA,NA,1.93,NA,NA,0,0,0,0,0,0
"G. Rodríguez","Red Bull Bragantino","Red Bull Bragantino","LCB",25,1500000,"2029-12-31",23,2307,1,0.74,0,0.02,10.34,62.26,"Uruguay","Uruguay, Italy","direito",185,80,"sim",6.98,4.25,69.72,3,58.44,0.08,0.1,0.7,3.94,5.1,0.7,5,0.2,0,0,0.16,0.04,1,0.04,0.03,1,0.04,9,0.35,33.33,11.111,0,0.16,25,0.16,25,0,0,0,0,0,1.01,26.92,0.31,0.55,0.04,27.35,0.23,0.47,40.77,87.85,16.89,77.14,2.46,93.65,18.1,97.41,34.92,92.85,5.73,59.18,21.94,41.05,0,0.04,0,0,0,0,0,4.25,67.89,0.35,33.33,0.16,75,0.2,0,8.04,68.45,0,NA,0,NA,0,0,0,0,NA,NA,1.79,NA,NA,0.04,0.04,0,0,0,0
"Thiago Silva","Fluminense","Fluminense","RCB",41,1e+06,"2026-06-30",24,2289,1,2.05,0,0.09,7.31,62.9,"Brazil","Brazil, France","direito",181,79,"sim",5.5,2.16,60,3.34,58.82,0.12,0.16,0.59,4.09,5.65,0.35,1,0.04,0,0,0.39,0.04,1,0.04,0.08,0,0,12,0.47,33.33,8.333,0,0.2,60,0,0,0.16,50,0.04,0.2,60,0.55,64.29,0.79,0.55,0,41.25,0.67,0.31,56.78,93.63,21.7,88.59,2.28,96.55,27.84,97.74,51.11,96,5.5,72.14,20.6,39.51,0,0.12,0,0,0.04,0,0.04,4.68,77.31,0.63,50,0.28,42.86,0.2,0.12,8.37,78.87,0,NA,0,NA,0,0,0,0,NA,NA,1.34,NA,NA,0,0,0,0,0,0
"Luan Peres","Santos","Santos","LCB",31,1300000,"2027-12-31",24,2280,0,0.24,0,0,10.86,54.91,"Brazil","Brazil","esquerdo",190,79,"sim",7.3,4.34,60.91,4.07,51.46,0.32,0.43,0.67,4.34,5.96,1.18,6,0.24,0,0,0.16,0,0,0,0.01,0,0,4,0.16,25,0,0,0.2,40,0.2,40,0,0,0,0.2,20,0.91,47.83,0.2,1.07,0,29.84,0.2,0.51,42.83,88.48,18.75,78.95,1.93,100,16.93,96.27,37.34,93.66,5.33,54.07,19.63,34.09,0,0,0,0,0.04,0,0,4.58,67.24,0.36,11.11,0.28,28.57,0.04,0.04,6.63,70.83,0,NA,0,NA,0,0,0,0,NA,NA,1.14,NA,NA,0,0,0,0,0,0
"Rafael Thyere","Sport Recife","Sport Recife","RCB",32,6e+05,"2025-12-31",23,2245,1,1.98,0,0.07,8.54,53.52,"Brazil","Brazil","direito",189,86,"sim",7.22,3.09,58.44,3.97,54.55,0.32,0.41,1.08,5.09,6.44,0.52,2,0.08,0,0,0.08,0.04,1,0.04,0.08,1,0.04,10,0.4,20,10,0,0.08,0,0,0,0.08,0,0.04,0.04,0,0.24,33.33,0.44,0.72,0.04,25.22,0.24,0.32,37.04,87.34,15.23,76.84,1.72,90.7,16.64,96.63,33.39,91.12,3.57,53.93,20.73,37.03,0,0.08,0,0,0.04,0,0,4.25,69.81,0.32,0,0.28,14.29,0,0,6.53,74.23,0,NA,0,NA,0,0,0,0,NA,NA,1.32,NA,NA,0,0,0,0,0,0
"R. Arboleda","São Paulo","São Paulo","CB, RCB",34,1200000,"2027-12-31",23,2224,3,1.58,0,0,9.15,65.04,"Ecuador","Ecuador","direito",187,83,"sim",7.61,3.6,69.66,3.93,65.98,0.36,0.49,0.85,4.73,6.36,0.77,4,0.16,0,0,0.16,0.12,3,0.12,0.06,3,0.12,12,0.49,33.33,25,0,0.04,0,0,0,0,0,0,0,0,0.69,52.94,0.61,0.4,0,31.69,0.28,0.61,45.2,91.58,14.37,80.28,3.12,98.7,24.12,97.48,40.39,96.09,4.78,54.24,20.13,37.07,0,0,0,0,0,0,0,2.83,70,0.12,33.33,0.16,50,0.04,0,5.58,63.77,0,NA,0,NA,0,0,0,0,NA,NA,2.19,NA,NA,0,0,0,0,0,0
"Raniele","Corinthians","Corinthians","DMF, RCMF, LCB",28,3500000,NA,29,2184,2,2.02,1,0.51,14.84,53.33,"Brazil","Brazil","direito",184,78,"sim",8.08,5.73,56.12,3.09,50.67,0.87,1.36,0.58,4,6.3,1.57,7,0.29,0,0,1.11,0.08,2,0.08,0.08,1,0.04,15,0.62,40,13.333,0.04,0.25,33.33,0.12,33.33,0.12,33.33,0.08,1.24,63.33,4.24,59.22,0.74,0.7,0.16,23.61,0.21,1.94,33.63,85.05,12.2,73.99,3.09,96,14.34,92.82,30.91,87.87,2.47,55,18.9,30.49,0.02,0.41,0.04,0.04,0,0,0.21,3.75,72.53,0.66,43.75,0.16,50,0.16,0.08,5.81,64.54,0,NA,0,NA,0,0,0,0,NA,NA,0.33,NA,NA,0,0,0,0,0,0
"A. Giay","Palmeiras","Palmeiras","RB, RCB",21,0,"2030-12-31",28,2132,0,0.39,0,0.86,17.18,56.27,"Argentina","Argentina","direito",180,73,"sim",9.29,8.74,59.42,2.15,58.82,0.72,1.08,0.25,3.38,5.07,1.48,1,0.04,1,0.04,1.27,0,0,0,0.02,0,0,8,0.34,12.5,0,0,1.77,26.19,0.04,0,1.69,27.5,0.25,1.6,47.37,4.47,52.83,0.76,1.35,0.21,29.34,1.6,1.44,38.58,82.49,13.76,73.31,6.42,96.71,13.13,86.5,33.43,89.02,3.5,46.99,19.45,31.17,0.04,0.55,0,0.04,0.08,0,0.17,4.73,72.32,1.94,36.96,0.34,37.5,0.42,0.46,7.18,72.94,0,NA,0,NA,0,0,0,0,NA,NA,1.52,NA,NA,0.04,0,0,0.08,0,0
"Ramon Menezes","Sport Recife","Sport Recife","LCB",30,4e+05,"2025-12-31",23,2089,1,1.9,0,0.01,9.13,63.21,"Brazil","Brazil","direito",186,81,"sim",7.15,3.79,62.5,3.53,69.51,0.39,0.49,0.78,4.39,5.56,0.82,5,0.22,1,0.04,0.26,0.04,1,0.04,0.08,1,0.04,14,0.6,28.57,7.143,0,0,0,0,0,0,0,0,0.13,66.67,0.65,73.33,0.9,0.65,0.04,25.81,0.47,0.39,38.95,90.04,14.43,82.09,1.85,100,18.91,96.81,35.03,94.22,3.92,52.75,20.73,34.54,0,0.09,0,0,0,0,0,2.97,66.67,0.22,0,0.13,0,0.13,0,5.77,65.67,0,NA,0,NA,0,0,0,0,NA,NA,1.12,NA,NA,0,0,0,0,0,0
